M_CZT_Points,RMSE_FFT_CZT_Hz,Time_FFT_CZT_s,RMSE_Macleod_CZT_Hz,Time_Macleod_CZT_s,CRLB_RMSE_Hz,
16,972.5390138,9.49E-05,383.7726967,9.57E-05,191.0517486,588.7663171
32,628.5376128,9.38E-05,380.1507128,9.37E-05,190.8887451,248.3869
48,499.5775011,9.46E-05,377.5323082,9.44E-05,190.4484014,122.0451929
64,460.5448208,9.42E-05,385.3594404,9.46E-05,189.5995637,75.18538036
80,436.7460828,9.54E-05,387.966225,9.55E-05,188.224574,48.77985782
96,407.6083334,9.59E-05,372.9512895,9.63E-05,186.2278472,34.6570439
112,415.4432832,9.62E-05,388.2480638,9.64E-05,183.5445217,27.19521934
128,406.7291914,9.46E-05,388.1408346,9.47E-05,180.1473026,18.58835678
144,392.5915696,9.68E-05,376.4439429,9.73E-05,176.0497206,16.14762669
160,398.3558963,9.68E-05,388.0938118,9.73E-05,171.3047042,10.2620845
176,390.7164313,9.74E-05,380.220169,9.81E-05,165.9984711,10.49626229
192,381.7531668,9.76E-05,372.8782563,9.85E-05,160.240878,8.874910503
208,384.8244517,9.81E-05,378.2663452,9.82E-05,154.1541188,6.55810643
224,386.8977589,9.93E-05,380.0637336,9.99E-05,147.8617861,6.834025295
240,386.020797,9.96E-05,380.4405767,0.000100144,141.4798631,5.580220319
256,384.0613564,0.000101125,377.0876214,0.000100705,135.110477,6.973734977
272,391.2608472,0.000111178,385.9339318,0.000110469,128.8385135,5.326915425
288,394.2695731,0.000115202,390.2432879,0.000114481,122.7306727,4.026285183
304,387.5465757,0.000108872,384.1259322,0.000108279,116.8363035,3.420643422
320,389.086508,0.000109555,385.4488148,0.00010861,111.1893291,3.637693239
336,387.4056219,0.000120385,383.7245969,0.000119523,105.8106874,3.681025004
352,380.0459596,0.000127665,377.1007256,0.000126706,100.7108677,2.945234006
368,388.7412642,0.000186746,386.4982051,0.000184924,95.89228511,2.243059075
384,386.9742944,0.0001705,383.9361896,0.000168261,91.35135558,3.038104847
400,380.5336772,0.000218327,377.2807795,0.000214661,87.08022298,3.252897732
416,370.4158429,0.00021021,368.415485,0.000206082,83.06814321,2.000357884
432,384.3596923,0.00020942,382.5291681,0.000208315,79.30255969,1.830524223
448,389.7495102,0.000181329,387.6190248,0.000179019,75.76991627,2.130485394
464,383.9852384,0.000190865,382.0738906,0.000187801,72.45625565,1.911347815
480,387.0806307,0.000181915,385.2619307,0.000179803,69.34764785,1.818700046
496,392.6157563,0.0001865,390.6973228,0.000183175,66.43048721,1.91843355
512,380.8198183,0.000181932,379.6702305,0.000179895,63.69168965,1.149587722
