M_CZT_Points,RMSE_FFT_CZT_Hz,Time_FFT_CZT_s,RMSE_Macleod_CZT_Hz,Time_Macleod_CZT_s,CRLB_RMSE_Hz
16,987.051936759071,9.09838600000001e-05,384.94636913568,9.11097199999998e-05,191.051748628658
24,771.810185108857,8.978647e-05,380.645185374353,8.99194100000001e-05,190.996397063785
32,628.387370943734,9.09903600000001e-05,384.683062026831,9.095333e-05,190.888745095977
40,546.94131259507,9.20014900000002e-05,382.839450513713,9.162599e-05,190.711661567493
48,496.882969054609,9.302883e-05,378.260551899971,9.296337e-05,190.448401383552
56,475.28564296992,0.00010623305,379.822840620582,0.00010657261,190.082810124994
64,459.267759715877,0.0001082064,386.797931048623,0.00010849893,189.599563712652
72,440.93356944146,0.00010848069,383.238281414204,0.00010885685,188.98443466722
80,423.64978460466,0.0001086675,375.916481766319,0.00010908283,188.224573995524
88,427.150002587013,0.00010766515,385.121919968147,0.00010825762,187.308795454515
96,419.110799618835,0.00010923117,384.135945610411,0.00010970944,186.227847214964
104,413.631757565193,0.00010847961,385.152310282699,0.00010902393,184.974655079592
112,412.871943315538,0.00010884238,384.045125852502,0.00010925478,183.544521663522
120,409.880780820575,0.00010934389,386.497657924555,0.00010981374,181.935267472925
128,401.822720571072,0.0001101498,381.470296577051,0.00011084476,180.147302628903
136,400.642891661382,0.00010990855,383.314666616877,0.00011031894,178.183621917994
144,399.390603087212,0.00011022264,382.435363761138,0.00011036579,176.049720585055
152,397.410314770805,0.00011104544,382.13409482123,0.00011145629,173.753433368907
160,397.592623853479,0.00011040958,384.23398071095,0.00011111301,171.304704201769
168,395.045563206673,0.00011217999,382.69931278513,0.00011245668,168.715298248805
176,388.683940169621,0.0001111414,377.656751118981,0.00011189776,165.998471141077
184,394.586354862706,0.0001114299,385.061597841802,0.00011195451,163.168612088903
192,390.270838403815,0.00011564623,381.359494538455,0.00011592343,160.240877966418
200,386.684579712745,0.00011166338,377.803464293752,0.00011194686,157.230834521997
208,389.756172243074,0.00011306842,382.920397672114,0.00011341376,154.154118828445
216,388.208269977445,0.00011235816,381.496443668248,0.00011288809,151.026134271122
224,386.432940050689,0.00011241738,379.69591286839,0.00011294813,147.86178614703
232,389.828596655584,0.00011285054,383.345016405471,0.00011303292,144.67526266153
240,391.054227312576,0.00011300452,384.557900944014,0.00011323655,141.479863051266
248,387.593531783346,0.00011192477,381.762488344576,0.00011271274,138.287871940338
256,386.222280241902,0.00011822944,380.485578397702,0.00011703019,135.110476971678
